Company Na,Address,City,State,ZIP Code,Record Typ,Longitude,Latitude,Primary NA,Primary__1,Snap
Las Americas Market,970 Blue Hill Ave,Dorchester Ctr,MA,2124,,-71.088907,42.290868,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Store 24,717 Boylston St,Boston,MA,2116,,-71.080095,42.349651,,Convenience Stores,Yes
Store 24,281 Huntington Ave # B,Boston,MA,2115,,-71.086462,42.341988,,Convenience Stores,Yes
D & D Convenience Store,734 Blue Hill Ave,Dorchester,MA,2121,,-71.086236,42.299755,,Convenience Stores,Yes
D & D Convenience Store,1002 Dorchester Ave,Dorchester,MA,2125,,-71.056634,42.316578,,Convenience Stores,Yes
D & D Convenience Store,,Boston,MA,2108,,-71.062564,42.357979,,Convenience Stores,Yes
Phu Cuong Market,1188 Dorchester Ave,Dorchester,MA,2125,,-71.057452,42.310033,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Diana Market,1070 Hyde Park Ave,Hyde Park,MA,2136,,-71.121415,42.26255,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Gonzalez Market,1178 Blue Hill Ave,Mattapan,MA,2126,,-71.09121,42.284027,,Convenience Stores,Yes
One Stop Convenience,664 Tremont St # 1,Boston,MA,2118,,-71.075795,42.341362,,Convenience Stores,Yes
Quality Mart,21 Massachusetts Ave,Boston,MA,2115,,-71.089476,42.350696,,Convenience Stores,Yes
Quality Mart,150 North Beacon St,Brighton,MA,2135,,-71.145767,42.355252,,Convenience Stores,Yes
Blue Hill Star,1366 Blue Hill Ave,Mattapan,MA,2126,,-71.093128,42.2767,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Store 24,717 Boylston St,Boston,MA,2116,,-71.080095,42.349651,,Convenience Stores,Yes
Store 24,281 Huntington Ave # B,Boston,MA,2115,,-71.086462,42.341988,,Convenience Stores,Yes
Foodie's Urban Market,1421 Washington St,Boston,MA,2118,,-71.070645,42.341145,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Father & Son Market,1437 Commonwealth Ave,Brighton,MA,2135,,-71.140339,42.348907,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Liriano Grocery,1503 River St,Hyde Park,MA,2136,,-71.131059,42.250454,,Convenience Stores,Yes
Blue Hill Market,1600 Blue Hill Ave # A,Mattapan,MA,2126,,-71.093606,42.268993,,Fish & Seafood Markets,Yes
Blue Hill Market,766 Blue Hill Ave,Dorchester Ctr,MA,2124,,-71.086693,42.298383,,Convenience Stores,Yes
Convenient Corner,1688 Dorchester Ave,Dorchester,MA,2122,,-71.06234,42.292568,,Convenience Stores,Yes
Mass Food Mart,1732 Dorchester Ave,Dorchester Ctr,MA,2124,,-71.062727,42.291172,,Convenience Stores,Yes
Columbus Market,1909 Columbus Ave,Roxbury,MA,2119,,-71.098501,42.31708,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Ashmont Convenience Store,1996 Dorchester Ave,Dorchester Ctr,MA,2124,,-71.064887,42.282899,,Convenience Stores,Yes
New Academy Market,2981 Washington St,Roxbury,MA,2119,,-71.096555,42.317938,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Cibao Market,3936 Washington St,Roslindale,MA,2131,,-71.119667,42.294128,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Amigo Market,75 Intervale St,Dorchester,MA,2121,,-71.0783,42.310824,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Estrellita Food Market,290 Meridian St # 1,Boston,MA,2128,,-71.039423,42.37681,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Cibao Market,3936 Washington St,Roslindale,MA,2131,,-71.119667,42.294128,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Hannaford Supermarket,39 Church St,Boston,MA,2116,,-71.06802,42.349383,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Home Market Foods,18 Food Mart Rd,Boston,MA,2118,,-71.062851,42.337343,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Mekong & Co,489 Cambridge St,Allston,MA,2134,,-71.137195,42.35386,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Adams Fish Market,783 Adams St,Dorchester Ctr,MA,2124,,-71.055901,42.283353,,Fish & Seafood Markets,null
LA Caja Market,353 Meridian St,East Boston,MA,2128,,-71.039132,42.378673,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Brookshire Grocery Co,1642 Commonwealth Ave,Brighton,MA,2135,,-71.143451,42.342275,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Codman Square Mkt Grocery Str,573 Washington St,Dorchester Ctr,MA,2124,,-71.071774,42.29162,,Convenience Stores,null
Deluca's Market,11 Charles St # 1,Boston,MA,2114,,-71.06957,42.356506,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Deluca's Market,17 Branch St,Boston,MA,2108,,-71.069216,42.356755,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Marcella's Market,80 Marcella St,Roxbury,MA,2119,,-71.095769,42.323647,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Roslindale Market,4140 Washington St,Roslindale,MA,2131,,-71.125739,42.288433,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
East Boston Variety,3 Gladstone St,Boston,MA,2128,,-70.999524,42.389113,,Convenience Stores,null
Staemis Seafood,7 Channel St,Boston,MA,2210,,-71.037095,42.345024,,Fish & Seafood Markets,null
E Shan Tang,171 Harvard Ave,Allston,MA,2134,,-71.131548,42.351222,,All Other Specialty Food Stores,null
Foods Research,716 E 3rd St,Boston,MA,2127,,-71.03101,42.33671,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Chanh Hung Seafood Market,659 Washington St,Boston,MA,2111,,-71.063212,42.351834,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Larry's Fish Market,26 Porter St,East Boston,MA,2128,,-71.037864,42.374607,,Fish & Seafood Markets,null
Neighborhood Convenience Str,994 Hyde Park Ave,Hyde Park,MA,2136,,-71.120747,42.265548,,Convenience Stores,null
Yaniel Supermarket,71 Day St,Jamaica Plain,MA,2130,,-71.108325,42.324577,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,413 Centre St,Jamaica Plain,MA,2130,,-71.110813,42.321454,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,51 Austin St,Charlestown,MA,2129,,-71.067272,42.374486,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,15 Washington St,Brighton,MA,2135,,-71.140375,42.342797,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,348 Harrison Ave,Boston,MA,2118,,-71.063631,42.34486,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,310 Harrison Ave # 348,Boston,MA,2118,,-71.063308,42.34568,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,181 Cambridge St,Boston,MA,2114,,-71.065892,42.361264,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,161 Cambridge St,Boston,MA,2114,,-71.066009,42.362107,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Whole Foods Market,15 Westland Ave,Boston,MA,2115,,-71.087246,42.3439,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
L Lawrence,23 Ledgemere Rd,Brighton,MA,2135,,-71.152815,42.343643,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Pondside Express Mart Inc,626 Centre St,Jamaica Plain,MA,2130,,-71.113815,42.313945,,Convenience Stores,null
Dicks Lobby Shop,10 Causeway St # 692,Boston,MA,2222,,-71.063096,42.365165,,Convenience Stores,null
Wag-A-Bag,70 Brookline Ave,Boston,MA,2215,,-71.098414,42.347237,,Convenience Stores,null
Y C Global Foods Inc,76 Brighton Ave,Allston,MA,2134,,-71.128687,42.352394,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Adam's Convenience Store,295 Adams St,Dorchester,MA,2122,,-71.058333,42.299416,,Convenience Stores,null
Adam's Convenience Store,149 Hanover St,Boston,MA,2108,,-71.062564,42.357979,,Convenience Stores,null
Medina's Market Inc,611 Tremont St,Boston,MA,2118,,-71.0741,42.342887,,Convenience Stores,null
Imperial Food,96 Business St,Hyde Park,MA,2136,,-71.127934,42.251779,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
M & M Food Mart Inc,85 Glenville Ave,Allston,MA,2134,,-71.134922,42.349553,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Mark A Albertson,790 Boylston St,Boston,MA,2199,,-71.081708,42.348195,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
National Produce Solutions Inc,280 Lincoln St,Allston,MA,2134,,-71.134073,42.357328,,Fruit & Vegetable Markets,null
D C Market,147 Centre St,Roxbury,MA,2119,,-71.096743,42.326097,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Huntington Markets,818 Huntington Ave,Boston,MA,2115,,-71.108433,42.33321,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Cheese Shop,20 Fleet St,Boston,MA,2113,,-71.052849,42.3647,,All Other Specialty Food Stores,null
Us Specialty Food Agency,245 Sumner St,Boston,MA,2128,,-71.038472,42.367941,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
Rae Foods,31 Germania St # I-8j,Jamaica Plain,MA,2130,,-71.102698,42.314225,,Supermarkets/Other Grocery (Exc Convenience) Strs,null
