company_na,address,city,state,zip_code,cartodb_id,longitude,latitude,type,snap,type_size,Underwater_36in,Underwater_7.5ft
7-Eleven,1306 Washington St,Boston,MA,2118,90,-71.070838,42.340851,Convenience Stores,Yes,2,,1
CVS/Pharmacy,715 William T Morrissey Blvd,Dorchester,MA,2122,502,-71.049367,42.297415,Pharmacies & Drug Stores,No,3,,1
London Veal,124 Newmarket Sq,Roxbury,MA,2118,450,-71.066883,42.33052,Meat Markets,No,6,,1
7-Eleven,91 Causeway St # 99,Boston,MA,2114,79,-71.062052,42.364834,Convenience Stores,Yes,2,,1
Sio Kam Lung Inc,65 Harrison Ave,Boston,MA,2111,10,-71.061313,42.351316,All Other Specialty Food Stores,No,1,,1
Berkeley Street Market,56 Berkeley St,Boston,MA,2116,282,-71.070933,42.346399,Convenience Stores,No,2,,1
Fresh Eggs Inc,58 Clarendon St,Boston,MA,2116,12,-71.073332,42.346442,All Other Specialty Food Stores,No,1,,1
Neptune Convenience & Liquor,3 Neptune Rd,Boston,MA,2128,219,-71.022851,42.37845,Convenience Stores,No,2,,1
Quick Mart,353 Chelsea St,Boston,MA,2128,69,-71.028734,42.378276,Convenience Stores,Yes,2,,1
Navarrete Foods Inc,50 Terminal St,Charlestown,MA,2129,738,-71.060047,42.382711,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
One Twenty Five,960r Massachusetts Ave,Boston,MA,2118,406,-71.070838,42.340851,Fruit & Vegetable Markets,No,5,,1
7-Eleven,730 William T Morrissey Blvd,Dorchester,MA,2122,76,-71.047776,42.296438,Convenience Stores,Yes,2,,1
Rite Aid,971 Bennington St,Boston,MA,2128,524,-71.007539,42.386212,Pharmacies & Drug Stores,No,3,,1
Fenway Convenience,76 Kilmarnock St,Boston,MA,2215,288,-71.099234,42.342507,Convenience Stores,No,2,,1
Health Resources,Jfk Federal Bldg # 1826,Boston,MA,2222,31,-71.062334,42.364973,All Other Specialty Food Stores,No,1,,1
Foodie's Urban Market,1421 Washington St,Boston,MA,2118,586,-71.070645,42.341145,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Rite Foods,500 E St,Boston,MA,2210,633,-71.043142,42.343093,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Express Depot,360b Columbus Ave,Boston,MA,2116,284,-71.074581,42.350812,Convenience Stores,No,2,,1
CVS/Pharmacy,874 Harrison Ave,Boston,MA,2118,504,-71.076315,42.333822,Pharmacies & Drug Stores,No,3,,1
7-Eleven,1747 Washington St,Boston,MA,2118,89,-71.077008,42.336782,Convenience Stores,Yes,2,,1
One Stop Convenience,664 Tremont St # 1,Boston,MA,2118,66,-71.075795,42.341362,Convenience Stores,Yes,2,,1
Beacon Hill,65 Charles St,Boston,MA,2114,947,-71.070184,42.358114,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Shaw's Supermarket,246 Border St,East Boston,MA,2128,703,-71.040083,42.376514,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Moxie's Juice Co,135 W 8th St,Boston,MA,2127,395,-71.053647,42.334819,Fruit & Vegetable Markets,No,5,,1
East Boston Oysters,9 Fish Pier St E,Boston,MA,2210,352,-71.039276,42.349369,Fish & Seafood Markets,No,4,,1
Speedway,710 Gallivan Blvd,Dorchester,MA,2124,255,-71.048056,42.283857,Convenience Stores,No,2,,1
Premium Fun Foods,142 Cambridge St,Charlestown,MA,2129,826,-71.080621,42.381948,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Star Market,370 Western Ave # 1,Brighton,MA,2135,788,-71.138051,42.362807,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Real Food,14 Medfield St # 3,Boston,MA,2215,721,-71.105266,42.345346,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
International Lobster & Maguro,22 Food Mart Rd,Boston,MA,2118,378,-71.062863,42.337367,Fish & Seafood Markets,No,4,,1
Marlboro Market,45 Massachusetts Ave,Boston,MA,2115,526,-71.089096,42.34992,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Maverick Market,205 Maverick St,Boston,MA,2128,688,-71.036066,42.368833,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Rosauers Supermarkets Inc,120 Water St,Boston,MA,2109,835,-71.054665,42.358298,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Almany's Market,1053-1055 Tremont Street,Roxbury,MA,2120,844,-71.094875,42.334948,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
East Coast Variety,67 Bennington St,East Boston,MA,2128,39,-71.036531,42.375635,Convenience Stores,Yes,2,,1
Marlboro Market,45 Massachusetts Ave,Boston,MA,2115,534,-71.089096,42.34992,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Gateway Newstand,8 Park Plz,Boston,MA,2116,228,-71.069139,42.351517,Convenience Stores,No,2,,1
Wollaston's Market,369 Huntington Ave,Boston,MA,2115,714,-71.090304,42.340359,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Tedeschi Food Shops,320 Neponset Ave,Dorchester,MA,2122,295,-71.046896,42.288235,Convenience Stores,No,2,,1
Crt Food & Beverage,907 Boylston St,Boston,MA,2115,833,-71.084316,42.348459,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
"Duey, Chong",10 Oxford Pl,Boston,MA,2111,774,-71.060771,42.351713,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Andrade Market,93 Burrell St,Roxbury,MA,2119,815,-71.068204,42.323633,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Your Convenient,62 Essex St # 74,Boston,MA,2111,191,-71.061176,42.35179,Convenience Stores,No,2,,1
