Company Na,Address,City,State,ZIP Code,Longitude,Latitude,Type,Snap,Type_size,Underwater_36in,Underwater_7.5ft
East Boston Variety,3 Gladstone St,Boston,MA,2128,-70.999524,42.389113,Convenience Stores,No,2,,
Neighborhood Convenience Str,994 Hyde Park Ave,Hyde Park,MA,2136,-71.120747,42.265548,Convenience Stores,No,2,,
Pondside Express Mart Inc,626 Centre St,Jamaica Plain,MA,2130,-71.113815,42.313945,Convenience Stores,No,2,,
Dicks Lobby Shop,10 Causeway St # 692,Boston,MA,2222,-71.063096,42.365165,Convenience Stores,No,2,,
Wag-A-Bag,70 Brookline Ave,Boston,MA,2215,-71.098414,42.347237,Convenience Stores,No,2,,
Adam's Convenience Store,295 Adams St,Dorchester,MA,2122,-71.058333,42.299416,Convenience Stores,No,2,,
Adam's Convenience Store,149 Hanover St,Boston,MA,2108,-71.062564,42.357979,Convenience Stores,No,2,,
Medina's Market Inc,611 Tremont St,Boston,MA,2118,-71.0741,42.342887,Convenience Stores,No,2,,
Hillside Spa Cardoza Brothers,26 Hancock St,Dorchester,MA,2125,-71.065781,42.314757,Convenience Stores,No,2,,
College Convenience,281 Huntington Ave,Boston,MA,2115,-71.086462,42.341988,Convenience Stores,No,2,,
Neponset Food Mart,165 Neponset Ave,Dorchester,MA,2122,-71.050906,42.293033,Convenience Stores,No,2,,
Ccc's Cleveland Circle Cnvnc,358 Chestnut Hill Ave,Brighton,MA,2135,-71.151389,42.336775,Convenience Stores,No,2,,
Downtown Convenience Two,1100 Boylston St,Boston,MA,2215,-71.088468,42.346803,Convenience Stores,No,2,,
Franco's Place,160 Trenton St,East Boston,MA,2128,-71.033135,42.380174,Convenience Stores,No,2,,
D A Ave,446 Hyde Park Ave,Roslindale,MA,2131,-71.118645,42.285191,Convenience Stores,No,2,,
Food Market,1826 Dorchester Ave,Dorchester Ctr,MA,2124,-71.063288,42.288544,Convenience Stores,No,2,,
Anais Convenience Store,333 Washington St,Boston,MA,2108,-71.059193,42.356916,Convenience Stores,No,2,,
Poseidon Trident,20 Trident St,Boston,MA,2128,-71.010909,42.385908,Convenience Stores,No,2,,
Brazilian Corner,192 Brighton Ave,Allston,MA,2134,-71.134267,42.353074,Convenience Stores,No,2,,
Thompole Convenience Store,1330 Blue Hill Ave,Mattapan,MA,2126,-71.09324,42.278325,Convenience Stores,No,2,,
Mini Central,140 Harvard St,Dorchester Ctr,MA,2124,-71.080574,42.296209,Convenience Stores,No,2,,
S K B's,156 Washington St,Dorchester,MA,2121,-71.078876,42.30412,Convenience Stores,No,2,,
J & W One Lewis Wharf,1 Lewis Wharf,Boston,MA,2110,-71.051033,42.363723,Convenience Stores,No,2,,
Three D's,249 E St,South Boston,MA,2127,-71.051554,42.335803,Convenience Stores,No,2,,
Bazics Convenience,1 Design Center Pl,Boston,MA,2210,-71.034115,42.343883,Convenience Stores,No,2,,
Bull Market Deli,Liberty Sq,Boston,MA,2109,-71.055237,42.359135,Convenience Stores,No,2,,
Woodrow Ave Market,67 Woodrow Ave,Dorchester Ctr,MA,2124,-71.080968,42.287995,Convenience Stores,No,2,,
Five Corners Mini Mart,1246 Dorchester Ave,Dorchester,MA,2125,-71.057935,42.307822,Convenience Stores,No,2,,
M R M Enterprises Inc,218 Bowdoin St,Dorchester,MA,2122,-71.068072,42.30546,Convenience Stores,No,2,,
Visham & Son,449 Washington St,Boston,MA,2111,-71.060983,42.355329,Convenience Stores,No,2,,
Tienda San Antonio,257 Princeton St,Boston,MA,2128,-71.030009,42.379571,Convenience Stores,No,2,,
Obrien Market,1660 Dorchester Ave,Dorchester,MA,2122,-71.061969,42.293841,Convenience Stores,No,2,,
EVS Mini Mart,334 Dorchester St,South Boston,MA,2127,-71.053943,42.330816,Convenience Stores,No,2,,
City Convenience Store,182 Harvard Ave,Allston,MA,2134,-71.131131,42.351097,Convenience Stores,No,2,,
Quick Pick Convenience,973 Tremont St # A,Roxbury Crossing,MA,2120,-71.084116,42.337483,Convenience Stores,No,2,,
D N D Convienence Store,734 Blue Hill Ave,Dorchester,MA,2121,-71.086236,42.299755,Convenience Stores,No,2,,
Delights Corner,34 Oxford St,Boston,MA,2111,-71.060297,42.351547,Convenience Stores,No,2,,
Acougue Brasil Convenient Str,192 Brighton Ave,Allston,MA,2134,-71.134267,42.353074,Convenience Stores,No,2,,
West Seventh Mini Market,51 W 7th St,Boston,MA,2127,-71.055401,42.337052,Convenience Stores,No,2,,
Shoebox Smokers Club Cnvnnc,449 Washington St,Boston,MA,2111,-71.060983,42.355329,Convenience Stores,No,2,,
Madina Market-Allston,72 Brighton Ave,Allston,MA,2134,-71.128819,42.352414,Convenience Stores,No,2,,
J & M Convenience Store,15 North Beacon St,Allston,MA,2134,-71.137764,42.354139,Convenience Stores,No,2,,
Columbia Road Market II,387 Columbia Rd,Dorchester,MA,2125,-71.070132,42.311042,Convenience Stores,No,2,,
M B Convenience,1690 Commonwealth Ave,Brighton,MA,2135,-71.146397,42.341359,Convenience Stores,No,2,,
Chamas Market,198 Humboldt Ave,Dorchester,MA,2121,-71.089547,42.312992,Convenience Stores,No,2,,
Triple Seven Convenience,269 Main St,Charlestown,MA,2129,-71.066603,42.377209,Convenience Stores,No,2,,
777 Convenience Store,269 Main St,Charlestown,MA,2129,-71.066603,42.377209,Convenience Stores,No,2,,
777 Convenience Store,215 Trenton St,Boston,MA,2128,-71.031079,42.380846,Convenience Stores,No,2,,
Bunker Hill Market,190 Bunker Hill St,Charlestown,MA,2129,-71.061767,42.37864,Convenience Stores,No,2,,
Planet Gracie-Ma,164 Blue Hill Ave,Roxbury,MA,2119,-71.077549,42.318997,Convenience Stores,No,2,,
Jen's Place,10 Park Plz,Boston,MA,2116,-71.069461,42.351028,Convenience Stores,No,2,,
75 State St Lobby Shop,75 State St,Boston,MA,2109,-71.055089,42.358449,Convenience Stores,No,2,,
Cashion's Quick Stop,60 Temple Pl # 4,Boston,MA,2111,-71.061427,42.354968,Convenience Stores,No,2,,
Food Land,199 Adams St,Boston,MA,2122,-71.06015,42.302039,Convenience Stores,No,2,,
Johnny's Market II,51 Trenton St,East Boston,MA,2128,-71.037662,42.378353,Convenience Stores,No,2,,
Boston Variety,59 Causeway St,Boston,MA,2114,-71.062893,42.3644,Convenience Stores,No,2,,
Li'l Peach,1151 Washington St,Dorchester Ctr,MA,2124,-71.069079,42.272351,Convenience Stores,No,2,,
KABA African Market,29 Roxbury St,Roxbury,MA,2119,-71.085056,42.329618,Convenience Stores,No,2,,
Boston Bottle,372 Commercial St,Boston,MA,2109,-71.053869,42.360568,Convenience Stores,No,2,,
White Hen,342 Hanover St,Boston,MA,2113,-71.053561,42.364947,Convenience Stores,No,2,,
Your Convenient,62-74 Essex Street,Boston,MA,2111,-71.061176,42.35179,Convenience Stores,No,2,,
Your Convenient,62 Essex St # 74,Boston,MA,2111,-71.061176,42.35179,Convenience Stores,No,2,,
United National Market,134 Bunker Hill St,Charlestown,MA,2129,-71.059818,42.377987,Convenience Stores,No,2,,
Salem Convenience,96 Salem St,Boston,MA,2113,-71.055696,42.363949,Convenience Stores,No,2,,
Cappy's Convenience Store Inc,949 Dorchester Ave,Dorchester,MA,2125,-71.056916,42.318625,Convenience Stores,No,2,,
J & J Convenience Store,11 Meridian St,Boston,MA,2128,-71.038751,42.370551,Convenience Stores,No,2,,
Budget Mart,229 Florence St,Roslindale,MA,2131,-71.120202,42.285567,Convenience Stores,No,2,,
Bull Market Press Corp,9 W Broadway # 415,Boston,MA,2127,-71.057941,42.34238,Convenience Stores,No,2,,
Sulgrave Inc,60 State St,Boston,MA,2109,-71.056434,42.359266,Convenience Stores,No,2,,
S K Convenience Stores,100 Huntington Ave,Boston,MA,2116,-71.077828,42.347042,Convenience Stores,No,2,,
First Tennessee Capital Mrkts,99 Summer St,Boston,MA,2110,-71.05893,42.353558,Convenience Stores,No,2,,
Gateway Newsstand,401 Park Dr # 203,Boston,MA,2215,-71.103148,42.343754,Convenience Stores,No,2,,
Island Store,735 E 6th St,Boston,MA,2127,-71.031339,42.333021,Convenience Stores,No,2,,
Anthony Market,407 Meridian St,Boston,MA,2128,-71.038999,42.380376,Convenience Stores,No,2,,
Mario Market,51 Cottage St,Boston,MA,2128,-71.035677,42.367108,Convenience Stores,No,2,,
El Orgullo Mini Market,1325 Dorchester Ave,Dorchester,MA,2122,-71.0595,42.305313,Convenience Stores,No,2,,
P & A Convenience Market Inc,469 Columbus Ave,Boston,MA,2116,-71.078526,42.343304,Convenience Stores,No,2,,
Almany,1053 Tremont St,Roxbury,MA,2120,-71.085985,42.336505,Convenience Stores,No,2,,
Ruiz Market Boston,14 Breed St,Boston,MA,2128,-71.00681,42.387188,Convenience Stores,No,2,,
Star 50 Convenience,303 Geneva Ave,Dorchester,MA,2121,-71.071984,42.303561,Convenience Stores,No,2,,
Allston Convenience Store,165 Allston St,Allston,MA,2134,-71.138157,42.347782,Convenience Stores,No,2,,
Lee's Store Inc,982 Dorchester Ave,Dorchester,MA,2125,-71.056652,42.317204,Convenience Stores,No,2,,
Los Paisanos Market LLC,11 Meridian St,Boston,MA,2128,-71.038751,42.370551,Convenience Stores,No,2,,
Downtown Brazil,878 South St,Roslindale,MA,2131,-71.134121,42.288855,Convenience Stores,No,2,,
I J Convenience Store,604 Hyde Park Ave,Roslindale,MA,2131,-71.118805,42.279946,Convenience Stores,No,2,,
Wan Convenience,172 Brighton Ave,Allston,MA,2134,-71.133012,42.352947,Convenience Stores,No,2,,
T J S Food Shop LTD,12 Elder St,Dorchester,MA,2125,-71.06328,42.320155,Convenience Stores,No,2,,
LA Poula Conveniences,1330 Blue Hill Ave,Mattapan,MA,2126,-71.09324,42.278325,Convenience Stores,No,2,,
Park N Go,613 Park St,Dorchester Ctr,MA,2124,-71.078055,42.294469,Convenience Stores,No,2,,
Neptune Convenience & Liquor,3 Neptune Rd,Boston,MA,2128,-71.022851,42.37845,Convenience Stores,No,2,,
Temple Place Market,55 Temple Pl,Boston,MA,2111,-71.061788,42.35483,Convenience Stores,No,2,,
J & C Convenience Food Store,1147 Commonwealth Ave,Allston,MA,2134,-71.12755,42.350746,Convenience Stores,No,2,,
Sheba Market,66 Pleasant Hill Ave,Mattapan,MA,2126,-71.071838,42.276053,Convenience Stores,No,2,,
J K Market II,232 Sumner St,East Boston,MA,2128,-71.038891,42.368539,Convenience Stores,No,2,,
Olevo Market,154 Geneva Ave,Dorchester,MA,2121,-71.077172,42.305502,Convenience Stores,No,2,,
Lasker's Variety,67 Appleton St,Boston,MA,2116,-71.072681,42.345835,Convenience Stores,No,2,,
Crossing Variety,48 Winter St,Boston,MA,2108,-71.062025,42.355963,Convenience Stores,No,2,,
Costa's Convenience Store,184 Bremen St,Boston,MA,2128,-71.034307,42.373091,Convenience Stores,No,2,,
Gateway Newstand,8 Park Plz,Boston,MA,2116,-71.069139,42.351517,Convenience Stores,No,2,,
Gateway Newstand,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,Convenience Stores,No,2,,
Nas Convenience Inc,88 Bailey St # 3,Dorchester Ctr,MA,2124,-71.065012,42.284977,Convenience Stores,No,2,,
K & G1 Stop,25 New Sudbury St,Boston,MA,2203,-71.059249,42.361392,Convenience Stores,No,2,,
Naidely's Market Inc,367 Blue Hill Ave,Dorchester,MA,2121,-71.080988,42.311899,Convenience Stores,No,2,,
Pantry,39 Dalton St,Boston,MA,2199,-71.083844,42.346573,Convenience Stores,No,2,,
Alltown Roxbury,85 Southampton St,Boston,MA,2118,-71.070384,42.331916,Convenience Stores,No,2,,
Corner Store Dorchester,166 Norfolk St,Dorchester Ctr,MA,2124,-71.078976,42.286902,Convenience Stores,No,2,,
Rosario Grocery,760 Washington St,Dorchester Ctr,MA,2124,-71.071251,42.285016,Convenience Stores,No,2,,
