STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
BIG Y STORE 52,650,MEMORIAL DRIVE,650 MEMORIAL DRIVE,CHICOPEE,MA,1020,HAMPDEN,SS,Yes
SAVE-A-LOT,650,AMERICAN LEGION HWY,650 AMERICAN LEGION HWY,ROSLINDALE,MA,2131,SUFFOLK,SS,Yes
STAN'S VARIETY,651,SOMERSET AVE,651 SOMERSET AVE,TAUNTON,MA,2780,BRISTOL,CS,Yes
FOODMASTER SUPERMARKET #6 06,651,SQUIRE ROAD,651 SQUIRE ROAD,REVERE,MA,2151,SUFFOLK,SS,Yes
SANDRA'S MARKET,652,MAIN STREET,652 MAIN STREET,WORCESTER,MA,1610,WORCESTER,SG,Yes
DENNIS PUBLIC MARKET,653,MAIN ST RTE 6-A,653 MAIN ST RTE 6-A,DENNIS,MA,2638,BARNSTABLE,LG,Yes
BROOKS PHARMACY 565,653,SQUIRE ST,653 SQUIRE ST,REVERE,MA,2151,SUFFOLK,CO,Yes
ESSEX FARMS,655,SALEM ST,655 SALEM ST,MALDEN,MA,2148,MIDDLESEX,CS,Yes
TARGET 2127,655,CHESHIRE RD,655 CHESHIRE RD,LANESBOROUGH,MA,1237,BERKSHIRE,SS,Yes
TRADER JOE'S 514,655,"RTE 132, UNIT 4-A","655 RTE 132, UNIT 4-A",HYANNIS,MA,2601,BARNSTABLE,SM,Yes
HOLYOKE MINI MARKET,657,HIGH STREET,657 HIGH STREET,HOLYOKE,MA,1040,HAMPDEN,MG,Yes
Shop Smart,659,Grattan St,659 Grattan St,Chicopee,MA,1020,HAMPDEN,CS,Yes
TRADER JOE'S 503,659,WORCESTER ROAD,659 WORCESTER ROAD,FRAMINGHAM,MA,1701,MIDDLESEX,SM,Yes
PIC-A-DELI CONVENIENCE,660,PLEASANT STREET,660 PLEASANT STREET,NEW BEDFORD,MA,2740,BRISTOL,CS,Yes
E-ZEE MART,662,KINGS HIGHWAY,662 KINGS HIGHWAY,WEST SPRINGFIEL,MA,1089,HAMPDEN,CS,Yes
7-ELEVEN #32446B 32446-B,662,BELMONT STREET,662 BELMONT STREET,BROCKTON,MA,2301,PLYMOUTH,CS,Yes
COMPARE FOODS,664,MAIN STREET,664 MAIN STREET,WORCESTER,MA,1610,WORCESTER,SS,Yes
SAVE-A-LOT LTD 811,665,LIBERTY STREET,665 LIBERTY STREET,SPINGFIELD,MA,1104,HAMPDEN,SM,Yes
PRICE RITE,665,BOSTON ROAD,665 BOSTON ROAD,SPRINGFIELD,MA,1119,HAMPDEN,SS,Yes
SHAW'S SUPERMARKET 7417/119,666,WASHINGTON ST,666 WASHINGTON ST,STOUGHTON,MA,2072,NORFOLK,SS,Yes
7-Day Store,668,Winthrop,668 Winthrop,Revere,MA,2151,SUFFOLK,CS,Yes
C MART 808,668,NORTH MAIN STREET,668 NORTH MAIN STREET,EAST LONGMEADOW,MA,1028,HAMPDEN,CS,Yes
BROTHERS CONVENIENCE INC,669,EASTERN AV,669 EASTERN AV,MALDEN,MA,2148,MIDDLESEX,CS,Yes
GETTY MART 619,671,STATE ST,671 STATE ST,SPRINGFIELD,MA,1109,HAMPDEN,CS,Yes
TEDESCHI FOOD SHOPS 179,671,NORTH STREET,671 NORTH STREET,RANDOLPH,MA,2368,NORFOLK,MG,Yes
STOP & SHOP 036,672,MEMORIAL DRIVE RT 33,672 MEMORIAL DRIVE RT 33,CHICOPEE,MA,1021,HAMPDEN,SM,Yes
7-ELEVEN 33592A,673,EAST BROADWAY,673 EAST BROADWAY,SOUTH BOSTON,MA,2127,SUFFOLK,CS,Yes
BROOKS PHARMACY 857,676,DARTMOUTH ST,676 DARTMOUTH ST,S DARTMOUTH,MA,2748,BRISTOL,CO,Yes
CVS PHARMACY 708,676,SOUTHBRIDGE STREET,676 SOUTHBRIDGE STREET,AUBURN,MA,1501,WORCESTER,CO,Yes
Quick Shop Market,677,Bridge St,677 Bridge St,Lowell,MA,1850,MIDDLESEX,CS,Yes
WALMART 2155,677,TIMPANY BLVD,677 TIMPANY BLVD,GARDNER,MA,1440,WORCESTER,SM,Yes
7 ELEVEN,678,Adams St,678 Adams St,Quincy,MA,2169,NORFOLK,CS,Yes
MAIN ST GULF,679,MAIN ST,679 MAIN ST,SPRINGFIELD,MA,1105,HAMPDEN,MG,Yes
Giorgios Convenience Inc,680,Essex St,680 Essex St,Lawrence,MA,1841,ESSEX,MG,Yes
STOP & SHOP 415,683,BELMONT STREET,683 BELMONT STREET,BROCKTON,MA,2301,PLYMOUTH,SM,Yes
"STORE 24, INC., 85",684,CENTRE ST,684 CENTRE ST,JAMAICA PLAIN,MA,2130,SUFFOLK,MG,Yes
Racing Mart Fuels,685,Sumner Avenue,685 Sumner Avenue,Springfield,MA,1104,HAMPDEN,CS,Yes
WHITE HEN PANTRY 1-8906-4,687,SOUTH MAIN ST,687 SOUTH MAIN ST,BRADFORD,MA,1835,ESSEX,CS,Yes
FOODMASTER SUPERMARKET 12,688,BEDFORD STREET,688 BEDFORD STREET,WHITMAN,MA,2382,PLYMOUTH,SS,Yes
COUNTRY FARM,689,NORTH MAIN ST,689 NORTH MAIN ST,LEOMINSTER,MA,1453,WORCESTER,CO,Yes
VICENTE'S LIQUORS & TROPICAL GROC,689,MAIN ST,689 MAIN ST,BROCKTON,MA,2301,PLYMOUTH,SM,Yes
Almaeedeh International Halal Mea,690,Hancock St,690 Hancock St,Quincy,MA,2170,NORFOLK,SG,Yes
PISCES FISH MARKET,690,AMERICAN LEGION HWY,690 AMERICAN LEGION HWY,ROSLINDALE,MA,2131,SUFFOLK,MG,Yes
SHAW'S SUPERMARKET 7408/109,690,DEPOT ST,690 DEPOT ST,EASTON,MA,2356,BRISTOL,SS,Yes
BROOKS PHARMACY 558,690,DEPOT ST,690 DEPOT ST,NORTH EASTON,MA,2356,BRISTOL,CO,Yes
SAFY MARKET,691,BROADWAY,691 BROADWAY,REVERE,MA,2151,SUFFOLK,SG,Yes
C-MART SUPERMARKET,692,WASHINGTON ST,692 WASHINGTON ST,BOSTON,MA,2111,SUFFOLK,SS,Yes
TEDESCHIS 328,695,TRUMAN HWY,695 TRUMAN HWY,HYDE PARK,MA,2136,SUFFOLK,CS,Yes
STOP & SHOP 455,695,MAIN STREET,695 MAIN STREET,WINCHESTER,MA,1890,MIDDLESEX,SM,Yes
VAILLANCOURT'S VARIETY STORE,696,EASTERN AVENUE,696 EASTERN AVENUE,FALL RIVER,MA,2723,BRISTOL,CS,Yes
Osqui Supermarket,696,Dwight St,696 Dwight St,Holyoke,MA,1040,HAMPDEN,SG,Yes
Rosas Family Market,696,Blue Hill Ave,696 Blue Hill Ave,Dorchester,MA,2121,SUFFOLK,CS,Yes
STAR MARKET # 7565/507 7565,699,MOUNT AUBURN ST,699 MOUNT AUBURN ST,CAMBRIDGE,MA,2138,MIDDLESEX,SS,Yes
Ashley Blvd Market,700,Ashley Blvd,700 Ashley Blvd,New Bedford,MA,2745,BRISTOL,CS,Yes
STOP & SHOP 049,700,PLEASANT STREET,700 PLEASANT STREET,WATERTOWN,MA,2472,MIDDLESEX,SM,Yes
STOP & SHOP 487,700,WASHINGTON STREET,700 WASHINGTON STREET,E WEYMOUTH,MA,2189,NORFOLK,SM,Yes
WALMART 2904,700,OAK STREET,700 OAK STREET,BROCKTON,MA,2301,PLYMOUTH,SM,Yes
MARKET BASKET 5,700,ESSEX STREET,700 ESSEX STREET,LAWRENCE,MA,1841,ESSEX,SS,Yes
DEMOULAS SUPERMKT 7,700,BOSTON RD,700 BOSTON RD,BILLERICA,MA,1821,MIDDLESEX,SS,Yes
BIG Y STORE #22,700,MAIN ST  suite 2,700 MAIN ST  suite 2,GT BARRINGTON,MA,1230,BERKSHIRE,SS,Yes
WHITE HEN PANTRY # 1-8103-1 18103,703,HAVERHILL STREET,703 HAVERHILL STREET,LAWRENCE,MA,1841,ESSEX,CS,Yes
CVS PHARMACY 2282,703,GALLIVAN BLVD,703 GALLIVAN BLVD,DORCHESTER,MA,2124,SUFFOLK,CO,Yes
CVS PHARMACY 1264,704,CENTRE STREET,704 CENTRE STREET,JAMAICA PLAIN,MA,2130,SUFFOLK,CO,Yes
Paxton Market,707,Pleasant St,707 Pleasant St,Paxton,MA,1612,WORCESTER,SG,Yes
WALGREENS 03625,707,STATE STREET,707 STATE STREET,SPRINGFIELD,MA,1109,HAMPDEN,CO,Yes
PACE ENERGY,710,LAKEVIEW DR,710 LAKEVIEW DR,LOWELL,MA,1850,MIDDLESEX,CS,Yes
COLONY FARMS,710,SOUTHBRIDGE STREET,710 SOUTHBRIDGE STREET,AUBURN,MA,1501,WORCESTER,CS,Yes
BROOKS PHARMACY 573,710,E BROADWAY,710 E BROADWAY,SOUTH BOSTON,MA,2127,SUFFOLK,CO,Yes
PARK N SHOP AUBURN,711,SOUTHBRIDGE STREET,711 SOUTHBRIDGE STREET,AUBURN,MA,1501,WORCESTER,SS,Yes
BROOKS PHARMACY 388,711,MAIN ST,711 MAIN ST,DENNISPORT,MA,2639,BARNSTABLE,CO,Yes
UTOPIA CONVENIENCE STORE,713,MAIN STREET,713 MAIN STREET,AGAWAM,MA,1001,HAMPDEN,CS,Yes
SUPER STOP AND SHOP 053,713,E. BROADWAY,713 E. BROADWAY,S. BOSTON,MA,2127,SUFFOLK,SM,Yes
Main Street Market,715,Main St,715 Main St,Harwich,MA,2645,BARNSTABLE,CS,Yes
CVS PHARMACY 2283,715,MORRISSEY BLVD,715 MORRISSEY BLVD,DORCHESTER,MA,2122,SUFFOLK,CO,Yes
SHAW'S SUPERMARKET 7407/107,715,CRESCENT ST,715 CRESCENT ST,BROCKTON,MA,2301,PLYMOUTH,SS,Yes
Daous Convenience,716,Worcester St,716 Worcester St,Southbridge,MA,1550,WORCESTER,CO,Yes
STORE 24 5,717,BOYLSTON ST,717 BOYLSTON ST,BOSTON,MA,2116,SUFFOLK,CS,Yes
BOHIO MARKET,718,SHAWMUT AVE,718 SHAWMUT AVE,ROXBURY,MA,2119,SUFFOLK,CS,Yes
CVS PHARMACY 517,720,BLISS RD,720 BLISS RD,LONGMEADOW,MA,1106,HAMPDEN,CO,Yes
CORNER PANTRY,723,MAIN ST,723 MAIN ST,WEST SPRINGFIEL,MA,1089,HAMPDEN,CS,Yes
National Wholesale Liquidators,725,MORRISSEY BLVD,725 MORRISSEY BLVD,DORCHESTER,MA,2122,SUFFOLK,CO,Yes
RITE AID 10095,725,GRAFTON STREET,725 GRAFTON STREET,WORCESTER,MA,1604,WORCESTER,CO,Yes
HERMANOS UNIDOS,728,DUDLEY ST,728 DUDLEY ST,DORCHESTER,MA,2125,SUFFOLK,SG,Yes
Sunoco 7072,730,Sumner Ave,730 Sumner Ave,Springfield,MA,1108,HAMPDEN,CS,Yes
7-ELEVEN 32874B,730,Morrissey Blvd,730 Morrissey Blvd,Dorchester,MA,2122,SUFFOLK,CS,Yes
CVS PHARMACY 480,730,COMMONWEALTH AVE,730 COMMONWEALTH AVE,BROOKLINE,MA,2215,NORFOLK,CO,Yes
CVS PHARMACY 1867,731,STATE ROAD RT 3A,731 STATE ROAD RT 3A,MANOMET,MA,2345,PLYMOUTH,CO,Yes
CROSS ROADS COUNTRY STORE,732,CRESENT STREET,732 CRESENT STREET,BROCKTON,MA,2302,PLYMOUTH,MG,Yes
"SUPER 88, LLC",733,HANCOCK ST,733 HANCOCK ST,QUINCY,MA,2170,NORFOLK,SS,Yes
CVS Pharmacy 1250,735,,735 ,Brockton,MA,2301,PLYMOUTH,CO,Yes
H & M Food and Fuel,736,Boston Rd,736 Boston Rd,Springfield,MA,1119,HAMPDEN,CO,Yes
SHAW'S SUPERMARKET 7445/198,739,CHF JUSTICE CUSHING HWY,739 CHF JUSTICE CUSHING HWY,COHASSET,MA,2025,NORFOLK,SS,Yes
FIGUEROA ENTERPRISES INC,739,PARKER STREET,739 PARKER STREET,BOSTON,MA,2120,SUFFOLK,SG,Yes
EL FRUTERO MARKET,740,DUDLEY ST,740 DUDLEY ST,DORCHESTER,MA,2125,SUFFOLK,CS,Yes
WALMART 3200,740,MIDDLE ST,740 MIDDLE ST,WEYMOUTH,MA,2188,NORFOLK,SM,Yes
YIM'S VARIETY,742,BROADWAY STREET,742 BROADWAY STREET,LOWELL,MA,1854,MIDDLESEX,CS,Yes
WALMART 2012,742,MAIN ST,742 MAIN ST,N OXFORD,MA,1537,WORCESTER,SM,Yes
7-ELEVEN 24450F,743,E MAIN ST,743 E MAIN ST,FALMOUTH,MA,2540,BARNSTABLE,CS,Yes
MEKONG MARKET,747,MAIN,747 MAIN,WORCESTER,MA,1610,WORCESTER,MG,Yes
TRADER JOE'S 502,748,MEMORIAL DRIVE,748 MEMORIAL DRIVE,CAMBRIDGE,MA,2139,MIDDLESEX,SM,Yes
7-ELEVEN 20430E,750,MASSACHUSETTS AVE,750 MASSACHUSETTS AVE,CAMBRIDGE,MA,2139,MIDDLESEX,CS,Yes
AMERICAN LUCKY MARKET,750,BROADWAY,750 BROADWAY,CHELSEA,MA,2150,SUFFOLK,SG,Yes
DOWN TO EARTH NATURAL FOODS,751,KEMPTON ST,751 KEMPTON ST,NEW BEDFORD,MA,2740,BRISTOL,CO,Yes
Athena International Foods,753,Pleasant St,753 Pleasant St,Brockton,MA,2301,PLYMOUTH,SG,Yes
Honeybee Farms,753,Union St,753 Union St,W SPRINGFIELD,MA,1089,HAMPDEN,LG,Yes
WALGREENS 01847,757,GALLIVAN BLVD,757 GALLIVAN BLVD,DORCHESTER,MA,2122,SUFFOLK,CO,Yes
SUPER STOP & SHOP 92,757,TURNPIKE STREET,757 TURNPIKE STREET,NORTH ANDOVER,MA,1845,ESSEX,SM,Yes
CUMBERLAND FARMS 2275,757,ASHLEY BLVD,757 ASHLEY BLVD,NEW BEDFORD,MA,2745,BRISTOL,CS,Yes
DOLLAR TREE 3085,759,LYNNWAY,759 LYNNWAY,LYNN,MA,1905,ESSEX,CO,Yes
ROSARIO'S GROCERY,760,WASHINGTON ST,760 WASHINGTON ST,DORCHESTER,MA,2124,SUFFOLK,SG,Yes
SHAW'S SUPERMARKETS 7627/172,760,A BOSTON RD,760 A BOSTON RD,GROTON,MA,1450,MIDDLESEX,SS,Yes
GUIDOS QUALITY FRUT&PRODUCE INC.,760,SOUTH MAIN ST,760 SOUTH MAIN ST,GREAT BARRINGTO,MA,1230,BERKSHIRE,SS,Yes
MORTON MINI MART,761,MORTON STREET,761 MORTON STREET,MATTAPAN,MA,2126,SUFFOLK,CS,Yes
CENTRAL FOOD MARKET,764,S FIRST ST,764 S FIRST ST,NEW BEDFORD,MA,2744,BRISTOL,LG,Yes
BLUE HILL MARKET,766,BLUE HILL AVE,766 BLUE HILL AVE,DORCHESTER,MA,2124,SUFFOLK,MG,Yes
Parus,766,Main St,766 Main St,W Springfield,MA,1089,HAMPDEN,CO,Yes
Honeyland Farm,766,Liberty St,766 Liberty St,Springfield,MA,1104,HAMPDEN,SG,Yes
LI'L PEACH 417,766,CENTRAL STREET,766 CENTRAL STREET,LEOMINSTER,MA,1453,WORCESTER,CS,Yes
KMART 3040,768,IYANOUGH RD,768 IYANOUGH RD,HYANNIS,MA,2601,BARNSTABLE,SM,Yes
ONE STOP CONVENIENCE STORE,769,WORCESTER ST,769 WORCESTER ST,SOUTHBRIDGE,MA,1550,WORCESTER,CS,Yes
RICE'S MARKET,769,NORTH MAIN STREET,769 NORTH MAIN STREET,BROCKTON,MA,2301,PLYMOUTH,CS,Yes
KENYONS MARKET INC,769,EAST FALMOUTH HY,769 EAST FALMOUTH HY,E FALMOUTH,MA,2536,BARNSTABLE,CO,Yes
CVS PHARMACY INC 1291,770,BOSTON ROAD,770 BOSTON ROAD,SPRINGFIELD,MA,1119,HAMPDEN,CO,Yes
WALGREENS 4404,771,CENTRE STREET,771 CENTRE STREET,BROCKTON,MA,2302,PLYMOUTH,CO,Yes
EL RINCON DOMINICANO #1,773,ESSEX ST,773 ESSEX ST,LAWRENCE,MA,1841,ESSEX,MG,Yes
TEDESCHI FOOD SHOPS 162,774,PLAIN STREET,774 PLAIN STREET,MARSHFIELD,MA,2050,PLYMOUTH,LG,Yes
El 5-5 Meat Market Produce,775,Essex St,775 Essex St,Lawrence,MA,1841,ESSEX,SG,Yes
CUMBERLAND FARMS 2290,775,BROCK AVE,775 BROCK AVE,NEW BEDFORD,MA,2744,BRISTOL,CS,Yes
HANNAFORD FOOD & DRUG 327,777,ROGERS ST,777 ROGERS ST,LOWELL,MA,1852,MIDDLESEX,SS,Yes
WALMART 2227,777,BROCKTON AVE,777 BROCKTON AVE,ABINGTON,MA,2351,PLYMOUTH,SM,Yes
LAMBERT'S RAINBOW FRUIT,777,MORRISSEY BLVD,777 MORRISSEY BLVD,DORCHESTER,MA,2122,SUFFOLK,SM,Yes
CVS Pharmacy 471,778,Dudley Street,778 Dudley Street,Dorchester,MA,2124,SUFFOLK,CO,Yes
SUPER STOP & SHOP 498,779,McGrath Hwy,779 McGrath Hwy,SOMERVILLE,MA,2145,MIDDLESEX,SM,Yes
SHAW'S SUPERMARKET 7418/121,780,S MAIN ST,780 S MAIN ST,SHARON,MA,2067,NORFOLK,SS,Yes
WALMART 2139,780,LYNNWAY,780 LYNNWAY,LYNN,MA,1905,ESSEX,SM,Yes
DYMES,780,WASHINGTON ST,780 WASHINGTON ST,LYNN,MA,1902,ESSEX,CS,Yes
MARIE'S VARIETY,781,LAKEVIEW AVE,781 LAKEVIEW AVE,LOWELL,MA,1850,MIDDLESEX,CS,Yes
MAIN SUPERETTE,781,MAIN STREET,781 MAIN STREET,WORCESTER,MA,1610,WORCESTER,MG,Yes
LIL PEACH #432,782,NO. MAIN STREET,782 NO. MAIN STREET,LEOMINSTER,MA,1453,WORCESTER,CS,Yes
SUPER LIQUOR & MARKET,783,WATER ST,783 WATER ST,FITCHBURG,MA,1420,WORCESTER,CS,Yes
KIRKS VARIETY & HOBBY STORE,784,TYLER ST,784 TYLER ST,PITTSFIELD,MA,1201,BERKSHIRE,CS,Yes
Mobil On The Run,785,Gorham St,785 Gorham St,Lowell,MA,1852,MIDDLESEX,CS,Yes
DANEA'S SUPERETTE,790,MAIN STREET,790 MAIN STREET,MALDEN,MA,2148,MIDDLESEX,CS,Yes
F & C SPRINGFIELD SUPERMARKET COR,790,STATE STREET,790 STATE STREET,SPRINGFIELD,MA,1109,HAMPDEN,SM,Yes
Amigos Convenience Store,791,Central St,791 Central St,Lowell,MA,1852,MIDDLESEX,CS,Yes
CUMBERLAND FARMS 167,794,SPRINGFIELD STREET,794 SPRINGFIELD STREET,FEEDING HILLS,MA,1030,HAMPDEN,CS,Yes
SUPER 88 MARKET,795,EASTERN AV,795 EASTERN AV,MALDEN,MA,2148,MIDDLESEX,SM,Yes
Island Bakery,795,Main St,795 Main St,Worcester,MA,1610,WORCESTER,CS,Yes
STAR MARKET 7426/136,795,PROVIDENCE HWY,795 PROVIDENCE HWY,DEDHAM,MA,2026,NORFOLK,SS,Yes
Global Village Fuel,795,MAIN ST,795 MAIN ST,SOUTHBRIDGE,MA,1550,WORCESTER,CS,Yes
"LOS CABALLEROS MARKET, INC.",796,WASHINGTON ST,796 WASHINGTON ST,DORCHESTER,MA,2124,SUFFOLK,SG,Yes
LEE'S SUPERMARKET,796,MAIN RD PO BOX 3329,796 MAIN RD PO BOX 3329,WESTPORT,MA,2790,BRISTOL,SS,Yes
RICK'S VARIETY,798,BROADWAY STREET,798 BROADWAY STREET,EVERETT,MA,2149,MIDDLESEX,CS,Yes
CUMBERLAND FARMS 202,798,CAREW STREET,798 CAREW STREET,SPRINGFIELD,MA,1104,HAMPDEN,CS,Yes
Walgreens 07617,800,River Street,800 River Street,Haverhill,MA,1832,ESSEX,CO,Yes
Mathers Gas,800,Crescent St,800 Crescent St,Brockton,MA,2302,PLYMOUTH,CO,Yes
WALGREENS 10209,800,WAVERLY RD,800 WAVERLY RD,N ANDOVER,MA,1845,ESSEX,CO,Yes
STOP & SHOP 483,800,S.FRANKLIN STREET,800 S.FRANKLIN STREET,HOLBROOK,MA,2343,NORFOLK,SM,Yes
BIG Y STORE 02,800,BOSTON ROAD,800 BOSTON ROAD,SPRINGFIELD,MA,1104,HAMPDEN,SS,Yes
TARGET 1189,801,TAUNTON DEPOT DR,801 TAUNTON DEPOT DR,TAUNTON,MA,2780,BRISTOL,SS,Yes
CORNER MARKET,801,BROADWAY STREET,801 BROADWAY STREET,CHELSEA,MA,2150,SUFFOLK,SG,Yes
TONY'S GROCERY STORE #2,801,HIGH STREET,801 HIGH STREET,HOLYOKE,MA,1040,HAMPDEN,SG,Yes
BROTHERS MINI MARKET,802,TREMONT  ST,802 TREMONT  ST,BOSTON,MA,2118,SUFFOLK,SG,Yes
Domingo Market,805,Main St,805 Main St,Worcester,MA,1610,WORCESTER,SG,Yes
CUMBERLAND FARMS 3415,805,NANTASKET AVENUE,805 NANTASKET AVENUE,HULL,MA,2045,PLYMOUTH,CS,Yes
MOSCOW NIGHTS,808,PLEASANT STREET,808 PLEASANT STREET,WORCESTER,MA,1602,WORCESTER,SG,Yes
FOODMASTER SUPERMARKET #8 08,808,MASS AVENUE,808 MASS AVENUE,ARLINGTON,MA,2474,MIDDLESEX,SS,Yes
SAMS FOOD STORE 1066,810,MEADOW ST,810 MEADOW ST,CHICOPEE,MA,1013,HAMPDEN,CS,Yes
Tropical African Market,810,Main St,810 Main St,Springfield,MA,1105,HAMPDEN,CS,Yes
CUMBERLAND FARMS 2277,810,ROCKDALE AVE & KEMPTON,810 ROCKDALE AVE & KEMPTON,NEW BEDFORD,MA,2740,BRISTOL,CS,Yes
FRANK AND ERNEST,810,CENTRAL ST,810 CENTRAL ST,LOWELL,MA,1852,MIDDLESEX,MG,Yes
MOODY SPA,811,MOODY STREET,811 MOODY STREET,WALTHAM,MA,2454,MIDDLESEX,CS,Yes
MOUNTAIN VIEW VARIETY,813,DALTON DIVISION RD,813 DALTON DIVISION RD,DALTON,MA,1226,BERKSHIRE,CS,Yes
D AND T CONVENIENCE STORE,813,WESTERN AVENUE,813 WESTERN AVENUE,LYNN,MA,1905,ESSEX,SG,Yes
STOP & SHOP 421,815,GRAND ARMY HWY,815 GRAND ARMY HWY,SOMERSET,MA,2725,BRISTOL,SM,Yes
A & A Shell,820,High St,820 High St,Holyoke,MA,1040,HAMPDEN,CO,Yes
Rowenas Market,821,Main St,821 Main St,Worcester,MA,1607,WORCESTER,SG,Yes
BROOKS #335 PHARMACY 335,824,PURCHASE STREET,824 PURCHASE STREET,NEW BEDFORD,MA,2740,BRISTOL,CO,Yes
WALGREENS 03135,825,MORTON STREET,825 MORTON STREET,MATTAPAN,MA,2126,SUFFOLK,CO,Yes
LAMBERTS FRUIT,826,CRESCENT STREET,826 CRESCENT STREET,BROCKTON,MA,2302,PLYMOUTH,SM,Yes
STOP & SHOP 006,829,WORCESTER ST- RT. 9,829 WORCESTER ST- RT. 9,NATICK,MA,1760,MIDDLESEX,SM,Yes
MONTELLO NEWS INC,829,NORTH MAIN STREET,829 NORTH MAIN STREET,BROCKTON,MA,2301,PLYMOUTH,CS,Yes
CHAPIN EAST VARIETY,830,East St,830 East St,Ludlow,MA,1056,HAMPDEN,CS,Yes
GEISSLER'S SUPERMARKET,830,SUFFIELD STREET,830 SUFFIELD STREET,AGAWAM,MA,1001,HAMPDEN,SS,Yes
WALMART 1984,830,CURRAN MEMORIAL HWY,830 CURRAN MEMORIAL HWY,N ADAMS,MA,1247,BERKSHIRE,SM,Yes
WALGREENS 3090,838,PLEASANT STREET,838 PLEASANT STREET,NEW BEDFORD,MA,2740,BRISTOL,CO,Yes
WALGREENS 02823,841,WESTERN AVE,841 WESTERN AVE,LYNN,MA,1905,ESSEX,CO,Yes
SPRINGDALE GROCERY,845,MAIN ST,845 MAIN ST,HOLYOKE,MA,1040,HAMPDEN,CS,Yes
New Store On The Block,845,Dorchester Ave,845 Dorchester Ave,Dorchester,MA,2125,SUFFOLK,CS,Yes
NEW ENGLAND GROCERY,850,WESTERN AVE,850 WESTERN AVE,LYNN,MA,1905,ESSEX,SG,Yes
FULLER MARKET,851,WASHINGTON ST,851 WASHINGTON ST,DORCHESTER,MA,2124,SUFFOLK,MG,Yes
Kumasi Supermarket,852,Main St,852 Main St,Worcester,MA,1610,WORCESTER,SG,Yes
Hyde Park Market,853,River St,853 River St,Hyde Park,MA,2136,SUFFOLK,SG,Yes
HILLTOP BUTCHER SHOP/MARKETPLACE,855,BROADWAY,855 BROADWAY,SAUGUS,MA,1906,ESSEX,SS,Yes
TRUCCHI'S SUPERMARKET 4,858,BEDFORD STREET,858 BEDFORD STREET,ABINGTON,MA,2351,PLYMOUTH,SS,Yes
PAYLIN LYNN MARKET,859,WESTERN AVE,859 WESTERN AVE,LYNN,MA,1905,ESSEX,SG,Yes
CUMBERLAND FARMS 2227,864,STAFFORD RD,864 STAFFORD RD,FALL RIVER,MA,2721,BRISTOL,CS,Yes
PRICERITE OF FALL RIVER,866,PLEASANT ST,866 PLEASANT ST,FALL RIVER,MA,2723,BRISTOL,SS,Yes
THE CORNER STORE OF BHA,867,BLUE HILL AVE,867 BLUE HILL AVE,BOSTON,MA,2124,SUFFOLK,CS,Yes
HAPPY SUPERMARKET,868,BLUE HILL AVE,868 BLUE HILL AVE,DORCHESTER,MA,2124,SUFFOLK,SM,Yes
T&T MINI MARKET,869,HAMPDEN ST,869 HAMPDEN ST,HOLYOKE,MA,1040,HAMPDEN,SG,Yes
Low Price Convenience Store,870,North Main St,870 North Main St,Fall River,MA,2720,BRISTOL,MG,Yes
BROOKS PHARMACY 333,870,N. MAIN STREET,870 N. MAIN STREET,FALL RIVER,MA,2720,BRISTOL,CO,Yes
HONEY FARM 22,872,WEST BOYLSTON STREET,872 WEST BOYLSTON STREET,WORCESTER,MA,1606,WORCESTER,MG,Yes
FERNANDES MAKET,873,CAMBRIDGE STREET,873 CAMBRIDGE STREET,CAMBRIDGE,MA,2141,MIDDLESEX,SG,Yes
99 SUPERMARKET,873,WESTERN AV,873 WESTERN AV,LYNN,MA,1905,ESSEX,CS,Yes
AMARAL'S CENTRAL MARKET,873,GLOBE STREET,873 GLOBE STREET,FALL RIVER,MA,2724,BRISTOL,SM,Yes
STOP & SHOP 784,876,STATE ROAD,876 STATE ROAD,NORTH ADAMS,MA,1247,BERKSHIRE,SM,Yes
FAMILY 88 SUPERMARKET,877,MAIN ST,877 MAIN ST,WORCESTER,MA,1610,WORCESTER,LG,Yes
WALGREENS 10650,880,N MONTELLO ST,880 N MONTELLO ST,BROCKTON,MA,2301,PLYMOUTH,CO,Yes
FOODMASTER SUPERMKT 10,880,MAIN ST,880 MAIN ST,MELROSE,MA,2176,MIDDLESEX,SS,Yes
BROADWAY MARKET,880,BROADWAY,880 BROADWAY,EVERETT,MA,2149,MIDDLESEX,CO,Yes
BROOKS PHARMACY 401,884,MAIN ST,884 MAIN ST,MELROSE,MA,2176,MIDDLESEX,CO,Yes
GARCIAS GROCERY & TROPICAL,886,MAIN ST,886 MAIN ST,BROCKTON,MA,2301,PLYMOUTH,SG,Yes
CENTRAL MARKET,886,CENTRAL STREET,886 CENTRAL STREET,LOWELL,MA,1852,MIDDLESEX,SG,Yes
STEVES CORNER,888,SALEM ST,888 SALEM ST,MALDEN,MA,2148,MIDDLESEX,CS,Yes
Quick Stop Food Mart,889,Carew St,889 Carew St,Springfield,MA,1104,HAMPDEN,CS,Yes
THE 1ST AND 15TH VARIETY & DELI,890,STATE ST,890 STATE ST,SPRINGFIELD,MA,1109,HAMPDEN,CS,Yes
SULLY'S VARIETY STORE,890,BROADWAY ST,890 BROADWAY ST,CHELSEA,MA,2150,SUFFOLK,CS,Yes
