STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
KMART 7155,9,PLAZA WAY,9 PLAZA WAY,FAIRHAVEN,MA,2719,BRISTOL,SM,Yes
NORMS EMPORIUM,9,PARK ST,9 PARK ST,ATTLEBORO,MA,2703,BRISTOL,CS,Yes
ELVIS'S VARIETY,9,NEWTON STREET,9 NEWTON STREET,LAWRENCE,MA,1843,ESSEX,SG,Yes
MALDEN VILLAGE MART,10,FLORENCE ST,10 FLORENCE ST,MALDEN,MA,2148,MIDDLESEX,MG,Yes
Maple Farm Foods,10,South Maple St,10 South Maple St,Hadley,MA,1035,HAMPSHIRE,MG,Yes
Norfolk Food Mart,10,Rockwood Rd,10 Rockwood Rd,Norfolk,MA,2056,NORFOLK,SG,Yes
SUPER STOP & SHOP 087,10,BATES RD,10 BATES RD,MASHPEE,MA,2649,BARNSTABLE,SM,Yes
DEMOULAS SUPERMKT 08,10,MAIN ST,10 MAIN ST,TEWKSBURY,MA,1876,MIDDLESEX,SS,Yes
CUMBERLAND FARMS 6702,10,MONTAQUE CITY ROAD,10 MONTAQUE CITY ROAD,TURNERS FALLS,MA,1376,FRANKLIN,CS,Yes
BROOKS MAXI 77,10,STAFFORD ROAD,10 STAFFORD ROAD,FALL RIVER,MA,2721,BRISTOL,CO,Yes
FOODMASTER SUPERMARKET 11,10,PLEASANT VALLEY,10 PLEASANT VALLEY,S WEYMOUTH,MA,2190,NORFOLK,SS,Yes
HANNAFORD FOOD & DRUG 20,10,WASHINGTON STREET,10 WASHINGTON STREET,NORWELL,MA,2061,PLYMOUTH,SS,Yes
WABAN MARKET,10,WINDSOR ROAD,10 WINDSOR ROAD,NEWTON,MA,2468,MIDDLESEX,LG,Yes
BIG Y STORE #11,10,COLLEGE HIGHWAY  RTE 10,10 COLLEGE HIGHWAY  RTE 10,SOUTHAMPTON,MA,1073,HAMPSHIRE,SS,Yes
